"suburb","state","postcode"
"BOREE CREEK","NSW","2652"
"GOOLGOWI","NSW","2652"
"GRONG GRONG","NSW","2652"
"GUMLY GUMLY","NSW","2652"
"HUMULA","NSW","2652"
"LADYSMITH","NSW","2652"
"MANGOPLAH","NSW","2652"
"MARRAR","NSW","2652"
"MATONG","NSW","2652"
"MERRIWAGGA","NSW","2652"
"OLD JUNEE","NSW","2652"
"ROSEWOOD","NSW","2652"
"TARCUTTA","NSW","2652"
"URANQUINTY","NSW","2652"
"COURABYRA","NSW","2653"
"GLENROY","NSW","2653"
"MANNUS","NSW","2653"
"TUMBARUMBA","NSW","2653"
"THE ROCK","NSW","2655"
"LOCKHART","NSW","2656"
"MILBRULONG","NSW","2656"
"HENTY","NSW","2658"
"PLEASANT HILLS","NSW","2658"
"WALLA WALLA","NSW","2659"
"CULCAIRN","NSW","2660"
"MORVEN","NSW","2660"
"JUNEE","NSW","2663"
"ARDLETHAN","NSW","2665"
"ARIAH PARK","NSW","2665"
"BARELLAN","NSW","2665"
"BECKOM","NSW","2665"
"MIRROOL","NSW","2665"
"MOOMBOOLDOOL","NSW","2665"
"SPRINGDALE","NSW","2666"
"TEMORA","NSW","2666"
"BARMEDMAN","NSW","2668"
"RANKINS SPRINGS","NSW","2669"
"TALLIMBA","NSW","2669"
"TULLIBIGEAL","NSW","2669"
"UNGARIE","NSW","2669"
"WEETHALLE","NSW","2669"
"BURCHER","NSW","2671"
"WEST WYALONG","NSW","2671"
"WYALONG","NSW","2671"
"LAKE CARGELLIGO","NSW","2672"
"HILLSTON","NSW","2675"
"BEELBANGERA","NSW","2680"
"BILBUL","NSW","2680"
"GRIFFITH","NSW","2680"
"HANWOOD","NSW","2680"
"LAKE WYANGAN","NSW","2680"
"NERICON","NSW","2680"
"THARBOGANG","NSW","2680"
"WIDGELLI","NSW","2680"
"YOOGALI","NSW","2680"
"MYALL PARK","NSW","2681"
"YENDA","NSW","2681"
"NARRANDERA","NSW","2700"
"SANDIGO","NSW","2700"
"COOLAMON","NSW","2701"
"RANNOCK","NSW","2701"
"GANMAIN","NSW","2702"
"YANCO","NSW","2703"
"LEETON","NSW","2705"
"MERUNGLE HILL","NSW","2705"
"MURRAMI","NSW","2705"
"STANBRIDGE","NSW","2705"
"WAMOON","NSW","2705"
"WHITTON","NSW","2705"
"DARLINGTON POINT","NSW","2706"
"COLEAMBALLY","NSW","2707"
"CONARGO","NSW","2710"
"DENILIQUIN","NSW","2710"
"MATHOURA","NSW","2710"
"MAYRUNG","NSW","2710"
"WAKOOL","NSW","2710"
"WANGANELLA","NSW","2710"
"HAY","NSW","2711"
"HAY SOUTH","NSW","2711"
"BERRIGAN","NSW","2712"
"BLIGHTY","NSW","2713"
"FINLEY","NSW","2713"
"TOCUMWAL","NSW","2714"
"BALRANALD","NSW","2715"
"JERILDERIE","NSW","2716"
"COOMEALLA","NSW","2717"
"DARETON","NSW","2717"
"GOCUP","NSW","2720"
"GOOBARRAGANDRA","NSW","2720"
"MUNDONGO","NSW","2720"
"TALBINGO","NSW","2720"
"TUMUT","NSW","2720"
"TUMUT PLAINS","NSW","2720"
"QUANDIALLA","NSW","2721"
"BRUNGLE","NSW","2722"
"GUNDAGAI","NSW","2722"
"MOUNT ADRAH","NSW","2722"
"MUTTAMA","NSW","2722"
"NANGUS","NSW","2722"
"SOUTH GUNDAGAI","NSW","2722"
"STOCKINBINGAL","NSW","2725"
"JUGIONG","NSW","2726"
"COOLAC","NSW","2727"
"ADELONG","NSW","2729"
"GRAHAMSTOWN","NSW","2729"
"MOUNT HOREB","NSW","2729"
"TUMBLONG","NSW","2729"
"WONDALGA","NSW","2729"
"BATLOW","NSW","2730"
"BUNNALOO","NSW","2731"
"MOAMA","NSW","2731"
"WOMBOOTA","NSW","2731"
"BARHAM","NSW","2732"
"MOULAMEIN","NSW","2733"
"KYALITE","NSW","2734"
"MURRAY DOWNS","NSW","2734"
"KORALEIGH","NSW","2735"
"SPEEWA","NSW","2735"
"TOOLEYBUC","NSW","2736"
"EUSTON","NSW","2737"
"GOL GOL","NSW","2738"
"MONAK","NSW","2738"
"TRENTHAM CLIFFS","NSW","2738"
"BOEILL CREEK","NSW","2739"
"BURONGA","NSW","2739"
"MOURQUONG","NSW","2739"
"GLENMORE PARK","NSW","2745"
"GREENDALE","NSW","2745"
"LUDDENHAM","NSW","2745"
"MULGOA","NSW","2745"
"REGENTVILLE","NSW","2745"
"WALLACIA","NSW","2745"
"CADDENS","NSW","2747"
"CAMBRIDGE GARDENS","NSW","2747"
"CAMBRIDGE PARK","NSW","2747"
"CLAREMONT MEADOWS","NSW","2747"
"JORDAN SPRINGS","NSW","2747"
"KINGSWOOD","NSW","2747"
"LLANDILO","NSW","2747"
"WERRINGTON","NSW","2747"
"WERRINGTON COUNTY","NSW","2747"
"WERRINGTON DOWNS","NSW","2747"
"ORCHARD HILLS","NSW","2748"
"CASTLEREAGH","NSW","2749"
"CRANEBROOK","NSW","2749"
"EMU HEIGHTS","NSW","2750"
"EMU PLAINS","NSW","2750"
"JAMISONTOWN","NSW","2750"
"LEONAY","NSW","2750"
"PENRITH","NSW","2750"
"SOUTH PENRITH","NSW","2750"
"SILVERDALE","NSW","2752"
"WARRAGAMBA","NSW","2752"
"AGNES BANKS","NSW","2753"
"BOWEN MOUNTAIN","NSW","2753"
"GROSE VALE","NSW","2753"
"GROSE WOLD","NSW","2753"
"HOBARTVILLE","NSW","2753"
"LONDONDERRY","NSW","2753"
"RICHMOND","NSW","2753"
"YARRAMUNDI","NSW","2753"
"NORTH RICHMOND","NSW","2754"
"TENNYSON","NSW","2754"
"THE SLOPES","NSW","2754"
"BLIGH PARK","NSW","2756"
"CATTAI","NSW","2756"
"CLARENDON","NSW","2756"
"COLO","NSW","2756"
"COLO HEIGHTS","NSW","2756"
"CUMBERLAND REACH","NSW","2756"
"EBENEZER","NSW","2756"
"FREEMANS REACH","NSW","2756"
"GLOSSODIA","NSW","2756"
"LOWER PORTLAND","NSW","2756"
"MAROOTA","NSW","2756"
"MCGRATHS HILL","NSW","2756"
"MULGRAVE","NSW","2756"
"PITT TOWN","NSW","2756"
"SACKVILLE","NSW","2756"
"SACKVILLE NORTH","NSW","2756"
"SOUTH MAROOTA","NSW","2756"
"SOUTH WINDSOR","NSW","2756"
"UPPER COLO","NSW","2756"
"WILBERFORCE","NSW","2756"
"WINDSOR","NSW","2756"
"WINDSOR DOWNS","NSW","2756"
"KURMOND","NSW","2757"
"BERAMBING","NSW","2758"
"BILPIN","NSW","2758"
"BLAXLANDS RIDGE","NSW","2758"
"EAST KURRAJONG","NSW","2758"
"KURRAJONG","NSW","2758"
"KURRAJONG HEIGHTS","NSW","2758"
"KURRAJONG HILLS","NSW","2758"
"MOUNTAIN LAGOON","NSW","2758"
"MOUNT TOMAH","NSW","2758"
"WHEENY CREEK","NSW","2758"
"ERSKINE PARK","NSW","2759"
"ST CLAIR","NSW","2759"
"COLYTON","NSW","2760"
"NORTH ST MARYS","NSW","2760"
"OXLEY PARK","NSW","2760"
"ROPES CROSSING","NSW","2760"
"ST MARYS","NSW","2760"
"COLEBEE","NSW","2761"
"DEAN PARK","NSW","2761"
"GLENDENNING","NSW","2761"
"HASSALL GROVE","NSW","2761"
"OAKHURST","NSW","2761"
"PLUMPTON","NSW","2761"
"SCHOFIELDS","NSW","2762"
"TALLAWONG","NSW","2762"
"ACACIA GARDENS","NSW","2763"
"NIRIMBA FIELDS","NSW","2763"
"QUAKERS HILL","NSW","2763"
"ANGUS","NSW","2765"
"BERKSHIRE PARK","NSW","2765"
"BOX HILL","NSW","2765"
"GABLES","NSW","2765"
"GRANTHAM FARM","NSW","2765"
"MARAYLYA","NSW","2765"
"MARSDEN PARK","NSW","2765"
"MELONBA","NSW","2765"
"NELSON","NSW","2765"
"OAKVILLE","NSW","2765"
"RIVERSTONE","NSW","2765"
"VINEYARD","NSW","2765"
"EASTERN CREEK","NSW","2766"
"ROOTY HILL","NSW","2766"
"BUNGARRIBEE","NSW","2767"
"DOONSIDE","NSW","2767"
"WOODCROFT","NSW","2767"
"GLENWOOD","NSW","2768"
"PARKLEA","NSW","2768"
"STANHOPE GARDENS","NSW","2768"
"THE PONDS","NSW","2769"
"BIDWILL","NSW","2770"
"BLACKETT","NSW","2770"
"DHARRUK","NSW","2770"
"EMERTON","NSW","2770"
"HEBERSHAM","NSW","2770"
"LETHBRIDGE PARK","NSW","2770"
"MINCHINBURY","NSW","2770"
"MOUNT DRUITT","NSW","2770"
"SHALVEY","NSW","2770"
"TREGEAR","NSW","2770"
"WHALAN","NSW","2770"
"WILLMOT","NSW","2770"
"GLENBROOK","NSW","2773"
"LAPSTONE","NSW","2773"
"BLAXLAND","NSW","2774"
"MOUNT RIVERVIEW","NSW","2774"
"WARRIMOO","NSW","2774"
"CENTRAL MACDONALD","NSW","2775"
"GUNDERMAN","NSW","2775"
"LAUGHTONDALE","NSW","2775"
"LEETS VALE","NSW","2775"
"LOWER MACDONALD","NSW","2775"
"MARLOW","NSW","2775"
"MOGO CREEK","NSW","2775"
"SPENCER","NSW","2775"
"ST ALBANS","NSW","2775"
"WEBBS CREEK","NSW","2775"
"WISEMANS FERRY","NSW","2775"
"WRIGHTS CREEK","NSW","2775"
"FAULCONBRIDGE","NSW","2776"
"HAWKESBURY HEIGHTS","NSW","2777"
"SPRINGWOOD","NSW","2777"
"SUN VALLEY","NSW","2777"
"VALLEY HEIGHTS","NSW","2777"
"WINMALEE","NSW","2777"
"YELLOW ROCK","NSW","2777"
"LINDEN","NSW","2778"
"WOODFORD","NSW","2778"
"HAZELBROOK","NSW","2779"
"KATOOMBA","NSW","2780"
"LEURA","NSW","2780"
"MEDLOW BATH","NSW","2780"
"WENTWORTH FALLS","NSW","2782"
"LAWSON","NSW","2783"
"BULLABURRA","NSW","2784"
"BLACKHEATH","NSW","2785"
"MEGALONG VALLEY","NSW","2785"
"BELL","NSW","2786"
"DARGAN","NSW","2786"
"MOUNT IRVINE","NSW","2786"
"MOUNT VICTORIA","NSW","2786"
"MOUNT WILSON","NSW","2786"
"BLACK SPRINGS","NSW","2787"
"CHATHAM VALLEY","NSW","2787"
"DUCKMALOI","NSW","2787"
"EDITH","NSW","2787"
"GINGKIN","NSW","2787"
"HAZELGROVE","NSW","2787"
"OBERON","NSW","2787"
"PORTERS RETREAT","NSW","2787"
"TARANA","NSW","2787"
"YERRANDERIE","NSW","2787"
"BEN BULLEN","NSW","2790"
"BOWENFELS","NSW","2790"
"CLARENCE","NSW","2790"
"CORNEY TOWN","NSW","2790"
"CULLEN BULLEN","NSW","2790"
"HAMPTON","NSW","2790"
"HARTLEY","NSW","2790"
"HARTLEY VALE","NSW","2790"
"HERMITAGE FLAT","NSW","2790"
"KANIMBLA","NSW","2790"
"LIDSDALE","NSW","2790"
"LITHGOW","NSW","2790"
"LITTLE HARTLEY","NSW","2790"
"LITTLETON","NSW","2790"
"MARRANGAROO","NSW","2790"
"MORTS ESTATE","NSW","2790"
"OAKEY PARK","NSW","2790"
"POTTERY ESTATE","NSW","2790"
"RYDAL","NSW","2790"
"SOUTH BOWENFELS","NSW","2790"
"SOUTH LITTLETON","NSW","2790"
"VALE OF CLWYDD","NSW","2790"
"CARCOAR","NSW","2791"
"MANDURAMA","NSW","2792"
"DARBYS FALLS","NSW","2793"
"WOODSTOCK","NSW","2793"
"BUMBALDRY","NSW","2794"
"COWRA","NSW","2794"
"WATTAMONDARA","NSW","2794"
"ABERCROMBIE","NSW","2795"
"BATHURST","NSW","2795"
"BILLYWILLINGA","NSW","2795"
"BREWONGLE","NSW","2795"
"BURRAGA","NSW","2795"
"CLEAR CREEK","NSW","2795"
"COW FLAT","NSW","2795"
"EGLINTON","NSW","2795"
"FOREST GROVE","NSW","2795"
"FOSTERS VALLEY","NSW","2795"
"GEORGES PLAINS","NSW","2795"
"GORMANS HILL","NSW","2795"
"KELSO","NSW","2795"
"LIMEKILNS","NSW","2795"
"LLANARTH","NSW","2795"
"LOCKSLEY","NSW","2795"
"MITCHELL","NSW","2795"
"MOUNT DAVID","NSW","2795"
"MOUNT RANKIN","NSW","2795"
"NAPOLEON REEF","NSW","2795"
"NEWBRIDGE","NSW","2795"
"O'CONNELL","NSW","2795"
"PEEL","NSW","2795"
"PERTHVILLE","NSW","2795"
"RAGLAN","NSW","2795"
"ROBIN HILL","NSW","2795"
"ROCKLEY","NSW","2795"
"SOFALA","NSW","2795"
"SOUTH BATHURST","NSW","2795"
"SUNNY CORNER","NSW","2795"
"THE LAGOON","NSW","2795"
"TRUNKEY CREEK","NSW","2795"
"WATTLE FLAT","NSW","2795"
"WEST BATHURST","NSW","2795"
"WHITE ROCK","NSW","2795"
"WIMBLEDON","NSW","2795"
"WINDRADYNE","NSW","2795"
"YETHOLME","NSW","2795"
"GARLAND","NSW","2797"
"LYNDHURST","NSW","2797"
"FOREST REEFS","NSW","2798"
"GUYONG","NSW","2798"
"MILLTHORPE","NSW","2798"
"SPRING TERRACE","NSW","2798"
"BARRY","NSW","2799"
"BLAYNEY","NSW","2799"
"BROWNS CREEK","NSW","2799"
"NEVILLE","NSW","2799"
"VITTORIA","NSW","2799"
"BORENORE","NSW","2800"
"CANOBOLAS","NSW","2800"
"CARGO","NSW","2800"
"CLIFTON GROVE","NSW","2800"
"LUCKNOW","NSW","2800"
"MULLION CREEK","NSW","2800"
"OPHIR","NSW","2800"
"ORANGE","NSW","2800"
"SPRING HILL","NSW","2800"
"WINDERA","NSW","2800"
"BENDICK MURRELL","NSW","2803"
"CROWTHER","NSW","2803"
"WIRRIMAH","NSW","2803"
"BILLIMARI","NSW","2804"
"CANOWINDRA","NSW","2804"
"GOOLOOGONG","NSW","2805"
"EUGOWRA","NSW","2806"
"KOORAWATHA","NSW","2807"
"WYANGALA","NSW","2808"
"GREENETHORPE","NSW","2809"
"BIMBI","NSW","2810"
"CARAGABAL","NSW","2810"
"GRENFELL","NSW","2810"
"TOORAWEENAH","NSW","2817"
"GEURIE","NSW","2818"
"ARTHURVILLE","NSW","2820"
"BODANGORA","NSW","2820"
"MARYVALE","NSW","2820"
"MONTEFIORES","NSW","2820"
"MOOKERAWA","NSW","2820"
"MUMBIL","NSW","2820"
"NEUREA","NSW","2820"
"STUART TOWN","NSW","2820"
"WELLINGTON","NSW","2820"
"WUULUMAN","NSW","2820"
"NARROMINE","NSW","2821"
"EUMUNGERIE","NSW","2822"
"TRANGIE","NSW","2823"
"BEEMUNNEL","NSW","2824"
"RAVENSWOOD","NSW","2824"
"WARREN","NSW","2824"
"NYNGAN","NSW","2825"
"NEVERTIRE","NSW","2826"
"COLLIE","NSW","2827"
"GILGANDRA","NSW","2827"
"ARMATREE","NSW","2828"
"GULARGAMBONE","NSW","2828"
"COONAMBLE","NSW","2829"
"BALLIMORE","NSW","2830"
"BROCKLEHURST","NSW","2830"
"DUBBO","NSW","2830"
"MOGRIGUY","NSW","2830"
"ELONG ELONG","NSW","2831"
"MERRYGOEN","NSW","2831"
"NEILREX","NSW","2831"
"WONGARBON","NSW","2831"
"WALGETT","NSW","2832"
"LIGHTNING RIDGE","NSW","2834"
"COBAR","NSW","2835"
"WILCANNIA","NSW","2836"
"BREWARRINA","NSW","2839"
"BOURKE","NSW","2840"
"MENDOORAN","NSW","2842"
"COOLAH","NSW","2843"
"BIRRIWA","NSW","2844"
"DUNEDOO","NSW","2844"
"LEADVILLE","NSW","2844"
"WALLERAWANG","NSW","2845"
"CAPERTEE","NSW","2846"
"GLEN DAVIS","NSW","2846"
"PORTLAND","NSW","2847"
"CHARBON","NSW","2848"
"CLANDULLA","NSW","2848"
"KANDOS","NSW","2848"
"RYLSTONE","NSW","2849"
"BOMBIRA","NSW","2850"
"CAERLEON","NSW","2850"
"COOKS GAP","NSW","2850"
"GRATTAI","NSW","2850"
"HARGRAVES","NSW","2850"
"HILL END","NSW","2850"
"ILFORD","NSW","2850"
"LUE","NSW","2850"
"MUDGEE","NSW","2850"
"TURILL","NSW","2850"
"WINDEYER","NSW","2850"
"YARRAWONGA","NSW","2850"
"BARNEYS REEF","NSW","2852"
"GOOLMA","NSW","2852"
"GULGONG","NSW","2852"
"STUBBO","NSW","2852"
"TWO MILE FLAT","NSW","2852"
"BOWAN PARK","NSW","2864"
"CUDAL","NSW","2864"
"TOOGONG","NSW","2864"
"MANILDRA","NSW","2865"
"EUCHAREENA","NSW","2866"
"MOLONG","NSW","2866"
"CUMNOCK","NSW","2867"
"YEOVAL","NSW","2868"
"PEAK HILL","NSW","2869"
"TOMINGLEY","NSW","2869"
"ALECTOWN","NSW","2870"
"MANDAGERY","NSW","2870"
"PARKES","NSW","2870"
"TICHBORNE","NSW","2870"
"BEDGERABONG","NSW","2871"
"BEDGEREBONG","NSW","2871"
"FORBES","NSW","2871"
"TOTTENHAM","NSW","2873"
"TULLAMORE","NSW","2874"
"OOTHA","NSW","2875"
"TRUNDLE","NSW","2875"
"YARRABANDAI","NSW","2875"
"BOGAN GATE","NSW","2876"
"GUNNINGBLAND","NSW","2876"
"NELUNGALOO","NSW","2876"
"CONDOBOLIN","NSW","2877"
"EUABALONG","NSW","2877"
"IVANHOE","NSW","2878"
"MENINDEE","NSW","2879"
"SUNSET STRIP","NSW","2879"
"BROKEN HILL","NSW","2880"
"NORFOLK ISLAND","NSW","2899"
"GREENWAY","ACT","2900"
"GLENEAGLES","ACT","2902"
"KAMBAH","ACT","2902"
"OXLEY","ACT","2903"
"WANNIASSA","ACT","2903"
"FADDEN","ACT","2904"
"GOWRIE","ACT","2904"
"MACARTHUR","ACT","2904"
"MONASH","ACT","2904"
"BONYTHON","ACT","2905"
"CALWELL","ACT","2905"
"CHISHOLM","ACT","2905"
"GILMORE","ACT","2905"
"ISABELLA PLAINS","ACT","2905"
"RICHARDSON","ACT","2905"
"THEODORE","ACT","2905"
"BANKS","ACT","2906"
"CONDER","ACT","2906"
"GORDON","ACT","2906"
"CRACE","ACT","2911"
"GUNGAHLIN","ACT","2912"
"CASEY","ACT","2913"
"FRANKLIN","ACT","2913"
"NGUNNAWAL","ACT","2913"
"NICHOLLS","ACT","2913"
"PALMERSTON","ACT","2913"
"TAYLOR","ACT","2913"
"AMAROO","ACT","2914"
"BONNER","ACT","2914"
"FORDE","ACT","2914"
"HARRISON","ACT","2914"
"JACKA","ACT","2914"
"MONCRIEFF","ACT","2914"
"THROSBY","ACT","2914"
"MELBOURNE","VIC","3000"
"EAST MELBOURNE","VIC","3002"
"WEST MELBOURNE","VIC","3003"
"MELBOURNE","VIC","3004"
"MELBOURNE (3004)","VIC","3004"
"MELBOURNE 3004","VIC","3004"
"SOUTHBANK","VIC","3006"
"DOCKLANDS","VIC","3008"
"FOOTSCRAY","VIC","3011"
"SEDDON","VIC","3011"
"BROOKLYN","VIC","3012"
"KINGSVILLE","VIC","3012"
"MAIDSTONE","VIC","3012"
"WEST FOOTSCRAY","VIC","3012"
"YARRAVILLE","VIC","3013"
"NEWPORT","VIC","3015"
"SOUTH KINGSVILLE","VIC","3015"
"SPOTSWOOD","VIC","3015"
"WILLIAMSTOWN","VIC","3016"
"WILLIAMSTOWN NORTH","VIC","3016"
"ALTONA","VIC","3018"
"SEAHOLME","VIC","3018"
"BRAYBROOK","VIC","3019"
"ALBION","VIC","3020"
"SUNSHINE","VIC","3020"
"SUNSHINE NORTH","VIC","3020"
"SUNSHINE WEST","VIC","3020"
"ALBANVALE","VIC","3021"
"KEALBA","VIC","3021"
"KINGS PARK","VIC","3021"
"ST ALBANS","VIC","3021"
"ARDEER","VIC","3022"
"BURNSIDE","VIC","3023"
"BURNSIDE HEIGHTS","VIC","3023"
"CAIRNLEA","VIC","3023"
"CAROLINE SPRINGS","VIC","3023"
"DEER PARK","VIC","3023"
"MAMBOURIN","VIC","3024"
"MANOR LAKES","VIC","3024"
"MOUNT COTTRELL","VIC","3024"
"WYNDHAM VALE","VIC","3024"
"ALTONA NORTH","VIC","3025"
"DERRIMUT","VIC","3026"
"LAVERTON NORTH","VIC","3026"
"WILLIAMS LANDING","VIC","3027"
"ALTONA MEADOWS","VIC","3028"
"LAVERTON","VIC","3028"
"SEABROOK","VIC","3028"
"HOPPERS CROSSING","VIC","3029"
"TARNEIT","VIC","3029"
"TRUGANINA","VIC","3029"
"DERRIMUT","VIC","3030"
"POINT COOK","VIC","3030"
"SANCTUARY LAKES","VIC","3030"
"WERRIBEE","VIC","3030"
"WERRIBEE SOUTH","VIC","3030"
"FLEMINGTON","VIC","3031"
"KENSINGTON","VIC","3031"
"ASCOT VALE","VIC","3032"
"MARIBYRNONG","VIC","3032"
"TRAVANCORE","VIC","3032"
"KEILOR EAST","VIC","3033"
"AVONDALE HEIGHTS","VIC","3034"
"KEILOR","VIC","3036"
"KEILOR NORTH","VIC","3036"
"DELAHEY","VIC","3037"
"HILLSIDE","VIC","3037"
"SYDENHAM","VIC","3037"
"TAYLORS HILL","VIC","3037"
"KEILOR DOWNS","VIC","3038"
"KEILOR LODGE","VIC","3038"
"TAYLORS LAKES","VIC","3038"
"MOONEE PONDS","VIC","3039"
"ABERFELDIE","VIC","3040"
"ESSENDON","VIC","3040"
"ESSENDON WEST","VIC","3040"
"ESSENDON NORTH","VIC","3041"
"STRATHMORE","VIC","3041"
"STRATHMORE HEIGHTS","VIC","3041"
"AIRPORT WEST","VIC","3042"
"KEILOR PARK","VIC","3042"
"NIDDRIE","VIC","3042"
"GLADSTONE PARK","VIC","3043"
"GOWANBRAE","VIC","3043"
"TULLAMARINE","VIC","3043"
"PASCOE VALE","VIC","3044"
"PASCOE VALE SOUTH","VIC","3044"
"GLENROY","VIC","3046"
"HADFIELD","VIC","3046"
"OAK PARK","VIC","3046"
"BROADMEADOWS","VIC","3047"
"DALLAS","VIC","3047"
"JACANA","VIC","3047"
"COOLAROO","VIC","3048"
"MEADOW HEIGHTS","VIC","3048"
"ATTWOOD","VIC","3049"
"WESTMEADOWS","VIC","3049"
"NORTH MELBOURNE","VIC","3051"
"PARKVILLE","VIC","3052"
"CARLTON","VIC","3053"
"CARLTON SOUTH","VIC","3053"
"CARLTON NORTH","VIC","3054"
"PRINCES HILL","VIC","3054"
"BRUNSWICK WEST","VIC","3055"
"BRUNSWICK","VIC","3056"
"BRUNSWICK EAST","VIC","3057"
"COBURG","VIC","3058"
"COBURG NORTH","VIC","3058"
"GREENVALE","VIC","3059"
"FAWKNER","VIC","3060"
"CAMPBELLFIELD","VIC","3061"
"OAKLANDS JUNCTION","VIC","3063"
"YUROKE","VIC","3063"
"CRAIGIEBURN","VIC","3064"
"DONNYBROOK","VIC","3064"
"KALKALLO","VIC","3064"
"MICKLEHAM","VIC","3064"
"ROXBURGH PARK","VIC","3064"
"FITZROY","VIC","3065"
"COLLINGWOOD","VIC","3066"
"ABBOTSFORD","VIC","3067"
"CLIFTON HILL","VIC","3068"
"FITZROY NORTH","VIC","3068"
"NORTHCOTE","VIC","3070"
"THORNBURY","VIC","3071"
"PRESTON","VIC","3072"
"PRESTON WEST","VIC","3072"
"RESERVOIR","VIC","3073"
"THOMASTOWN","VIC","3074"
"LALOR","VIC","3075"
"EPPING","VIC","3076"
"ALPHINGTON","VIC","3078"
"FAIRFIELD","VIC","3078"
"IVANHOE","VIC","3079"
"IVANHOE EAST","VIC","3079"
"BELLFIELD","VIC","3081"
"HEIDELBERG HEIGHTS","VIC","3081"
"HEIDELBERG WEST","VIC","3081"
"MILL PARK","VIC","3082"
"BUNDOORA","VIC","3083"
"KINGSBURY","VIC","3083"
"EAGLEMONT","VIC","3084"
"HEIDELBERG","VIC","3084"
"ROSANNA","VIC","3084"
"VIEWBANK","VIC","3084"
"MACLEOD","VIC","3085"
"YALLAMBIE","VIC","3085"
"WATSONIA","VIC","3087"
"WATSONIA NORTH","VIC","3087"
"BRIAR HILL","VIC","3088"
"GREENSBOROUGH","VIC","3088"
"ST HELENA","VIC","3088"
"DIAMOND CREEK","VIC","3089"
"PLENTY","VIC","3090"
"YARRAMBAT","VIC","3091"
"LOWER PLENTY","VIC","3093"
"MONTMORENCY","VIC","3094"
"ELTHAM","VIC","3095"
"ELTHAM NORTH","VIC","3095"
"RESEARCH","VIC","3095"
"WATTLE GLEN","VIC","3096"
"BEND OF ISLANDS","VIC","3097"
"KANGAROO GROUND","VIC","3097"
"WATSONS CREEK","VIC","3097"
"ARTHURS CREEK","VIC","3099"
"COTTLES BRIDGE","VIC","3099"
"HURSTBRIDGE","VIC","3099"
"NUTFIELD","VIC","3099"
"STRATHEWEN","VIC","3099"
"KEW","VIC","3101"
"KEW EAST","VIC","3102"
"BALWYN","VIC","3103"
"DEEPDENE","VIC","3103"
"BALWYN NORTH","VIC","3104"
"BULLEEN","VIC","3105"
"TEMPLESTOWE","VIC","3106"
"TEMPLESTOWE LOWER","VIC","3107"
"DONCASTER","VIC","3108"
"DONCASTER EAST","VIC","3109"
"DONVALE","VIC","3111"
"NORTH WARRANDYTE","VIC","3113"
"WARRANDYTE","VIC","3113"
"PARK ORCHARDS","VIC","3114"
"WONGA PARK","VIC","3115"
"CHIRNSIDE PARK","VIC","3116"
"BURNLEY","VIC","3121"
"CREMORNE","VIC","3121"
"RICHMOND","VIC","3121"
"HAWTHORN","VIC","3122"
"HAWTHORN EAST","VIC","3123"
"CAMBERWELL","VIC","3124"
"BURWOOD","VIC","3125"
"CANTERBURY","VIC","3126"
"MONT ALBERT","VIC","3127"
"SURREY HILLS","VIC","3127"
"BOX HILL","VIC","3128"
"BOX HILL SOUTH","VIC","3128"
"BOX HILL NORTH","VIC","3129"
"MONT ALBERT NORTH","VIC","3129"
"BLACKBURN","VIC","3130"
"BLACKBURN NORTH","VIC","3130"
"BLACKBURN SOUTH","VIC","3130"
"FOREST HILL","VIC","3131"
"NUNAWADING","VIC","3131"
"MITCHAM","VIC","3132"
"VERMONT","VIC","3133"
"VERMONT SOUTH","VIC","3133"
"RINGWOOD","VIC","3134"
"RINGWOOD NORTH","VIC","3134"
"WARRANDYTE SOUTH","VIC","3134"
"WARRANWOOD","VIC","3134"
"HEATHMONT","VIC","3135"
"RINGWOOD EAST","VIC","3135"
"CROYDON","VIC","3136"
"CROYDON HILLS","VIC","3136"
"CROYDON NORTH","VIC","3136"
"CROYDON SOUTH","VIC","3136"
"KILSYTH","VIC","3137"
"KILSYTH SOUTH","VIC","3137"
"MOOROOLBARK","VIC","3138"
"DON VALLEY","VIC","3139"
"HODDLES CREEK","VIC","3139"
"LAUNCHING PLACE","VIC","3139"
"SEVILLE","VIC","3139"
"SEVILLE EAST","VIC","3139"
"WANDIN EAST","VIC","3139"
"WANDIN NORTH","VIC","3139"
"WOORI YALLOCK","VIC","3139"
"YELLINGBO","VIC","3139"
"LILYDALE","VIC","3140"
"SOUTH YARRA","VIC","3141"
"TOORAK","VIC","3142"
"ARMADALE","VIC","3143"
"KOOYONG","VIC","3144"
"MALVERN","VIC","3144"
"CAULFIELD EAST","VIC","3145"
"MALVERN EAST","VIC","3145"
"GLEN IRIS","VIC","3146"
"ASHBURTON","VIC","3147"
"ASHWOOD","VIC","3147"
"CHADSTONE","VIC","3148"
"MOUNT WAVERLEY","VIC","3149"
"GLEN WAVERLEY","VIC","3150"
"WHEELERS HILL","VIC","3150"
"BURWOOD EAST","VIC","3151"
"WANTIRNA","VIC","3152"
"WANTIRNA SOUTH","VIC","3152"
"BAYSWATER","VIC","3153"
"BAYSWATER NORTH","VIC","3153"
"THE BASIN","VIC","3154"
"BORONIA","VIC","3155"
"FERNTREE GULLY","VIC","3156"
"LYSTERFIELD","VIC","3156"
"LYSTERFIELD SOUTH","VIC","3156"
"UPPER FERNTREE GULLY","VIC","3156"
"UPWEY","VIC","3158"
"MENZIES CREEK","VIC","3159"
"SELBY","VIC","3159"
"BELGRAVE","VIC","3160"
